|title|keyphrase
5615|"한국당, 문재인·안철수 '동시 때리기'…""반드시 검증"""|{'권한', '민주당 문재인', '여의도', '동정표', '절하', '배영경', '특혜 취업', '풀이', '맥락', '감옥', '박근혜', '위원회 연석회의', '공세 수위', '일부', '아들 취업', '지지율', '비판', '정우택 원내대표', '안철수', '최근 각종', '완승', '진행', '위원회', '공세', '강조', '잔재', '취업 논란', '정유라', '맹공', '대통령', '운운', '환경', '탄핵', '특혜 논란', '코스프레', '위원장', '이야기', '안철수 바람', '송곳', '발언', '얼치기', '지난달', '홍준표', '예고', '부탁', '한국', '투명', '취업 특혜', '정보원 특혜'}
5627|"문재인, 에너지 전문가 5명 영입…""대체에너지 정책수립"""|{'문재인', '화이트 컨설턴트', '세라믹', '공학부', '연구소', '베이츠 화이트', '김용식 비제이', '인디아나', '항공', '보도', '백운규 한양대', '연구소 초청', '컬럼비아 대학교', '연구원 태양광', '발전소', '선임 연구원', '양성훈 베이츠', '대학교', '전문가 그룹', '태양광 연구실', '초청 연구원', '대한민국 위원회', '에너지', '부산 대학교', '한양대 에너지', '김광두 위원장', '민주당', '물리학', '정연길', '취득', '연구원'}
5640|"정우택 ""문재인 아들 취업의혹, 당과 국회서 엄정한 검증"""|{'문재인', '마음', '장충 체육관', '국회의원', '해결 방법', '서울 장충', '반칙', '선거', '자유', '영향', '위원장 연석회의', '포퓰리즘', '책임', '대한민국', '기념관', '아들', '정우택 원내대표', '강조', '농단', '김동현', '대통령 선거', '창출', '대통령', '인사말', '이야기', '홍준표', '민주당', '정보원 특혜'}
5645|문재인·안철수 조우 불발…맞대결 가능성엔 '웃음만'|{'참석자', '급식', '마찬가지', '도착', '만남', '안철수 박동주', '신분', '배치', '영양사 분야', '문재인 박동주', '상시', '불발', '박근혜', '대한민국', '안철수 맞대결', '평가', '박경준', '초청', '지지율', '행사장 도착', '책임감', '보건소 영양사', '예상', '안철수', '정규직', '내빈', '의견', '막바지', '언급', '회계', '자긍심', '주황색 스카프', '모습', '단체', '송파구 올림픽', '미래', '추진', '영양사', '이명박', '호응', '비정규직', '민주당 문재인', '일자리'}
5670|문재인, 민주 영남경선 64.7%로 압승…누계 59.0% 본선행 '눈앞'(종합)|{'강원', '고양', '체육관', '돌입', '문재인', '관측', '정권', '안희정', '포인트', '필요', '승리', '사직 체육관', '누계 투표율', '비중', '참패', '국민', '역동', '추격', '이재명', '연승', '누적 득표율', '투표율', '활용', '사직', '일부', '취재진', '인터뷰 조정호', '민주당 후보', '카운트다운', '민주당 대통령', '마지막', '누계', '빨간불', '격차', '선거인단', '총력전', '대통령 후보', '오후', '포함', '직후', '대한민국 건설', '누적 과반', '지지층', '과반', '일방', '참여', '민주당', '공동', '가운데', '가능'}
5674|문재인, 민주 영남경선 64.7%로 압승…누계 59.0% 본선행 '눈앞'(3보)|{'강원', '관측', '압승 환호', '안희정', '사직 체육관', '참패', '역동', '문재인 조정호', '추격', '이재명', '누적 득표율', '활용', '일부', '최성 고양', '민주당 후보', '민주당 대통령', '상당', '누계', '마지막', '격차', '선거인단', '대통령 후보', '막판 총력전', '오후', '누적 과반', '지지층', '실내 체육관', '사직 실내', '과반', '일방', '참여', '민주당', '공동', '투표수', '가운데', '가능', '지지자'}
5684|민주 영남 경선, 문재인 64.7%·이재명 18.5%·안희정 16.6%(속보)|set()
5685|문재인, 호남·충청·영남 누계 59%…'본선직행' 눈앞(속보)|set()
5688|문재인, 민주 영남 경선서 64.7%로 압승…본선 '성큼'(속보)|set()
5689|민주 영남 경선, 문재인 1위·이재명 2위·안희정 3위(속보)|set()
5691|문재인, 민주당 영남 경선서도 압승…3연승 질주(2보)|{'이재명', '부산 사직', '권역 선출', '체육관', '문재인', '직행', '정견', '후보 선출', '안희정', '민주당', '승리', '득표율', '대통령 후보', '지사', '가능', '민주당 대통령'}
5694|문재인, 민주당 영남 경선서도 승리…3연승 질주(1보)|set()
5699|"""문재인 31%, 안철수 19%, 안희정 14%""<갤럽>(종합2보)"|{'선호도', '문재인', '페이스북', '정의당 심상정', '각축', '가운데 민주당', '안희정', '포인트', '포인트 급등', '한국갤럽', '세종', '우위', '김토일', '오름세', '개요', '지난해', '행정자치부', '이재명', '처리', '연령', '여론', '강세', '지지율', '민주당 지지층', '위원회 홈페이지', '안철수', '신뢰', '포인트 하락', '관심', '시장', '이귀원', '한국갤럽 홈페이지', '참조', '김진태', '심상정', '유권자', '트위터', '표본', '다음', '유승민', '서울', '홍준표', '민주당', '가운데', '민주당 문재인', '분석', '급등'}
5706|"문재인 ""영남서 더 압도적 지지로 정권교체""…영남경선"|{'변수', '체육관', '반문', '문재인', '하늘', '이상헌', '교체', '자랑', '시베리아 가스관', '김대중', '충청', '항공', '화합', '출발', '박근혜', '대통령 추도식', '노무현 대통령', '사직', '영남도', '플랜트 산업', '구속', '견인차', '강조', '언급', '교체 최전선', '민주주의', '모두', '허탈', '지역주의', '미래형 글로벌', '대통령', '개척', '파탄', '작년', '오후', '혁신', '유럽', '활력', '이명박', '텃밭', '의원', '민주당', '동북아', '동해안', '공격', '글로벌 산업'}
5729|"""문재인 31%, 안철수 19%, 안희정 14%""<갤럽>(종합)"|{'선호도', '문재인', '페이스북', '정의당 심상정', '각축', '가운데 민주당', '안희정', '포인트', '포인트 급등', '한국갤럽', '세종', '우위', '김토일', '오름세', '개요', '행정자치부', '이재명', '처리', '연령', '여론', '강세', '지지율', '민주당 지지층', '위원회 홈페이지', '안철수', '신뢰', '포인트 하락', '관심', '시장', '이귀원', '한국갤럽 홈페이지', '참조', '김진태', '심상정', '유권자', '트위터', '표본', '다음', '유승민', '서울', '홍준표', '민주당', '가운데', '민주당 문재인', '분석', '급등'}
5743|"""문재인 31%, 안철수 19%, 안희정 14%""<갤럽>"|{'정의당 심상정', '페이스북', '안희정', '포인트', '한국갤럽', '김토일', '개요', '행정자치부', '이재명', '처리', '연령', '지지율', '위원회 홈페이지', '안철수', '도지사', '신뢰', '이귀원', '한국갤럽 홈페이지', '김진태', '유권자', '트위터', '유승민', '홍준표', '가운데', '민주당 문재인'}
5782|경찰, '문재인 비방글' 신연희 강남구청장 휴대전화 압수|{'계획', '카카오톡', '강남구', '시물', '신연희', '채팅', '공산주의', '동영상', '사이버 수사대', '대한민국', '선거법', '경찰청 사이버', '후보 문재인', '전화', '신연희 강남구', '구청장 집무실', '임기창', '압수수색', '민주당', '중앙 선거관리위원회', '고발장', '수사진'}
5798|"문재인 ""안희정·이재명 함께하는 민주당 정부 만들 것""…TV토론"|{'감사', '이재명', '충청', '서울', '김부겸', '토론회', '나라', '스튜디오', '보수', '대통령', '안희정', '위기', '박원순', '임형섭', '민주당 문재인', '국민', '상식'}
5800|"심재철 ""문재인 아들 입사원서에 날짜 변조 의혹"""|{'왜곡', '범죄', '가위질', '추구', '부적격', '일반직', '하태경', '우편', '가로획', '단독', '변조', '대표', '아들', '정보원', '회의', '특혜', '블로그', '제기', '작성', '위원회', '강조', '나이', '김동현', '선관위', '이날', '날짜', '미비', '결탁', '접수', '흔적', '부의장', '선거관리위원회', '거짓', '권력', '심재철', '공무원 특채', '훼손', '은폐', '증명서', '가운데', '민주당 문재인'}
5805|"유승민 ""도로친박당이나 문재인에 나라 맡길 수 없다"""|{'광물', '분열', '나라', '핵심', '교체', '배치', '공무원', '사무소', '김정일', '여론', '결의안', '선대위', '허용', '미사일 방어', '정종근 포천', '류미나', '위원회', '적폐', '강조', '중앙당', '인명진 위원장', '대통령', '장본인', '청와대 회의', '유승민', '이야기', '혁신', '경기도 포천', '겨냥', '김무성', '감동', '드라마', '민주당 문재인', '도로', '일자리'}
5824|"""문재인 35.2%, 안철수 17.4%, 안희정 12.5%, 이재명 9.5%"""|{'반기문', '문재인', '정의당 심상정', '상당수', '범위', '가중치', '대부분', '강건', '포인트', '회복', '홍준표 경상남도', '개요', '지난해', '행정자치부', '이재명', '리얼미터 홈페이지', '여론', '랭크', '내림세', '시나리오', '손학규', '동향 여론', '답변', '지지율', '처음', '위원회 홈페이지', '사무총장', '자릿수', '안철수', '컨벤션', '실시', '하락세', '참조', '김진태', '심상정', '장년층', '상승세', '탈환 리얼미터', '유승민', '서울', '지지층', '지난주', '안희정 충청남도', '본거지', '오차', '나머지', '단일', '민주당 문재인', '초반', '방식', '탈환 홍준표'}
