	title	twitter_keyphrase
5329	"유승민측 ""문재인 후보 선출 축하…이제 국민통합 나서야"""	{'촉구했', '캠프 지상욱', '나가야', '여의도', '측은', '진정 분열', '살리는 진정', '갈등', '나서기', '바로잡', '나서야', '자극', '지적했', '끝내려', '수석 대변인', '김도훈', '더불어 민주당', '새누리당', '민주당 대통령', '김동현', '유승민 캠프', '생각', '나오는 진정', '유승민', '노무현', '세계관', '지상욱 수석', '시작한', '민주당 문재인', '축하한'}
5330	본선 검증대 오른 문재인…'아들 문제' '안보관' 등 표적	{'문재인', '주장하면', '측은', '예상된', '폐쇄성', '차단', '아들 취업', '아들 특혜', '진영', '총괄 본부장', '칼날', '스카이', '지적도', '캠프', '누구', '임명', '주요한 검증', '국민의당', '안희정 충남지사', '관리하지', '민주당', '프레임', '과거', '심지어', '비서실', '강조하면', '주장했', '화학', '해당하는', '잡았', '지지율', '방침', '절차', '정보원', '복무', '걸친', '대통령 후보자', '휴직', '민주주의', '달라', '강조하는', '열린', '계속', '논란', '검증', '경색', '준희', '울러', '발언', '극복', '구성하는', '당내', '오히려 남북관계', '돌파', '그룹', '법적대응', '반미', '종북', '서울시', '검토', '나서고', '탕평', '대응하겠', '비판한', '더불어 민주당', '노력하고', '허위', '학번', '부시장', '오르', '직접', '송영길', '여론조사', '매우', '참여정부', '국정감사', '만큼', '민주당 문재인', '취업 특혜', '해온', '혜림', '자유', '특전사', '먼저', '새정치', '발휘하지', '연합뉴스', '동안 한반도', '집중', '임종석', '적극 쟁점화', '제대로', '드러났', '측은 국민의정부', '구성할', '라며', '후보자 수도권', '리더십'}
5356	[연합시론] '대세론 수성' 도전 앞에 선 문재인	{'불안감', '지켜봐', '문재인', '정의당 심상정', '도약', '관측', '이재명 성남시장', '상황', '걸린 중차', '맡길', '부정부패', '증오', '형성된', '협력', '세우겠', '내부', '앞장서', '정치권', '모색할 리더십', '중심', '절반', '멀찌감치', '훌쩍 넘겨', '나서는', '밀린', '적임', '진영', '줄곧', '지지율', '처음', '박빙', '더불어 민주당', '약속했', '생긴', '형성된 분열', '신뢰', '출마', '국민의당 안철수', '최근', '직행', '세우고 불공정', '울러 탄핵', '형성되', '돌렸', '접근', '누적', '흐름', '수도권', '성공했', '대통령 탄핵', '권역별 순회', '기류', '흐트러진', '불평등', '적폐 청산도', '급변', '유승민', '연설', '안희정 충남지사', '그동안 각종', '각종 여론조사', '해소하는', '해야', '나타나고', '홍준표', '포함한', '태극기', '무엇'}
5361	문재인 승리 '숨은공신' 아내 김정숙씨…'풍찬노숙' 내조	{'광산구', '정신대 피해자', '대변인', '들었', '문재인', '바자회', '현장', '방문해', '끝나', '운영하는', '관계자', '진솔', '혼잡', '혜림', '열린 인터넷', '참석하는', '넓어졌', '완도군 소안도', '예방하기', '열린 더불어', '공식', '지난해', '만났', '훑으', '노숙', '출연', '미술관', '다가서면', '후보자 호남권', '전달하는', '일주일', '연합뉴스', '활약', '독립운동가', '책임감', '정치인', '압승하', '더불어 민주당', '목욕탕', '밀착', '고려해', '찾았', '남평문씨 종친회', '피해자 할머니', '방문했', '동네 이야기', '대통령 후보자', '전해졌', '홀아비', '마을', '캠프', '가까워져', '변호사', '수도권', '할머니', '구석구석 훑으', '혼밥', '판단', '설헌', '열리는', '김정숙', '모습', '신세', '린다', '이해하고', '생각한', '카페', '통화', '지난달', '유니버시아드 체육관', '반경 넓혀', '극복', '고마움', '퍼진', '언론', '며느리'}
5371	"정의당 ""문재인 대선후보 선출 축하…선명한 개혁경쟁"""	{'뚜렷', '정의당', '법인세', '문재인', '위원회 대변인', '권위', '당내', '약속하자', '안희정', '입장', '꼬집었', '로부터', '이재명', '구조', '대한민국', '성과', '박근혜', '남북관계', '지적했', '더불어 민주당', '나서겠', '민주당 대통령', '거부했', '국민의당 안철수', '대해서', '박수윤', '오늘날 대한민국', '세율', '검증', '최저임금', '참여정부', '배진교', '비정규직', '얼마나', '축하한'}
5373	"국민의당 ""문재인 후보 확정 진심으로 축하…선의의 경쟁하자"""	{'민주당 문재인', '페이스북', '대비할', '부정부패', '논평', '문재인 후보', '박지원', '축하하면', '이재명', '장진영 대변인', '세력', '산업혁명', '미래세', '더불어 민주당', '별도', '캠프', '실시되는 안철수', '양극화', '대통령 후보', '청산', '격려', '국민의당', '박수윤 기자', '패권', '관련 논평', '밝혔', '안희정 후보', '제안했', '축하한'}
5376	문재인, 민주당 대선후보로 대권 재도전…경선 득표율 57%(종합)	{'올랐', '포인트', '불공정', '구로구', '부족', '선언한', '포함한 수도권', '난무', '스카이', '합류', '추미애', '캠프', '김종인', '국민의당', '재외국민', '어깨', '유승민', '심혈', '안희정 충남지사', '개혁', '홍준표', '끝나야', '이상헌', '부정부패', '호남권', '기울일', '고양시장', '거두면', '포함하면', '득표율', '모으', '지지율', '영남권', '대통령 후보자', '시작된', '열린', '열린 수도권', '몰상식', '오후', '사실', '이분법', '않다', '밝혔', '선거운동', '다른', '이재명 성남시장', '세우겠', '가능성', '급상승', '본격', '통합', '멀찌감치', '교섭단체 가운데', '더불어 민주당', '안철수', '손가락', '직행', '불평등', '대진표', '여론조사', '경쟁력', '강조했', '발판', '민주당 문재인', '정의당 심상정', '기필코', '세우고', '나누는', '석패', '정치권', '평가된', '무너진', '박근혜', '대한민국', '시나리오', '보내야', '두려워하는', '수도권 강원', '기뻐하는 문재인', '현직', '충청권', '펼쳐질', '앞서는', '인사하고', '마련한', '광폭', '삼켰', '실시한 권역별', '후보자 수도권', '초반 레이스', '양강', '앞세워', '쓰레기통'}
5388	"한국당 ""문재인 후보 축하…선의의 경쟁 펼치자"""	{'미래', '만드는', '최종', '강원', '밝혔', '제안했', '스카이', '과반', '일러스트 이슬기', '인사', '순회', '득표율', '면서', '수도권', '대통령 후보', '민주당 문재인', '더불어 민주당', '정준길 대변인', '축하하면'}
5390	민주 대선후보 문재인, 인권변호사서 '적폐청산 선봉' 자임	{'참여정부 대통령', '삼켜', '문재인', '저서', '거절하며', '폐족', '관계자', '받은', '미군', '석방', '배웠', '인혁당', '담배', '않았', '탄핵 심판', '우여곡절', '재결합', '노무현 대통령', '손학규', '통합민주당', '마련했', '장례', '국민장', '박연차', '정치인', '가져다줬', '실었던', '난생처음', '스카이', '지적도', '고승덕 변호사', '맡았', '김종인', '국민의당', '위원장', '양동이', '특전사 군복무', '안희정 충남지사', '들어섰', '즐비', '프레임', '거절하고', '지지자', '움직임', '하반기', '태광', '이상헌', '교체', '사법연수원', '결혼', '본부장', '청와대', '성쇠', '뛰어든 문재인', '요구', '불공평', '이재명', '봉착', '이어졌', '포용', '입학한 경희대', '옮겼', '득표율', '지지율', '그냥', '면서 사법고시', '앞둔', '위원회', '대통령 후보자', '평탄', '청소년기', '대흥사', '징집', '입버릇', '열린', '송두환 헌법재판관', '하나로 모아', '함경도', '함께한 문재인', '대통령 탄핵', '탄핵', '현실정치', '준희', '로펌 스카우트', '주홍글씨', '갇혀', '보내던', '검찰', '합격했', '세월', '눈물', '이재명 성남시장', '유치장', '복귀', '돌파', '태어났', '안희정', '승리', '참여정부 핵심', '압박', '결성', '부마항쟁', '와신상담', '봉하마을', '입학했', '더불어 민주당', '안철수', '운동권', '변호인', '변호사', '소용돌이', '투입', '참여정부 마지막', '히말라야 트래킹', '대규모', '일으킨', '국회의원 재보선', '노무현', '박원순 서울시장', '박시환 대법관', '꾸렸', '묻는', '이듬해 부산시', '나눠', '조영래 변호사', '물러났', '느꼈', '시민사회', '대변인', '민주화', '손잡', '커진', '석패', '특전사', '재수생', '윗줄 가운데', '대통령 비서실', '이사했', '중학교', '스스로', '리어카', '정치권', '쿠데타', '박근혜', '대한민국', '이끌었', '침잠', '함께했', '잃은', '뇌물', '돌릴', '경쟁자', '바람', '노무현재단', '피란', '몰렸', '사상구', '어머니 연탄배달', '다짐', '초등학교', '설립해 이사장', '아버지', '인사하고', '김정숙', '각종', '가까이', '무너지', '이명박', '판문점', '후보자 수도권', '매달려', '구속되'}
5408	문재인, 민주당 대선후보로 선출…경선 득표율 57%(3보)	{'문재인', '정의당 심상정', '이재명 성남시장', '포인트', '호남권', '구로구', '평가된', '멀찌감치', '미미', '박근혜', '고양시장', '교섭단체 가운데', '거두면', '직행 이상헌', '포함하면', '레이스', '득표율', '포함한 수도권', '더불어 민주당', '돌리', '안철수', '민주당 대통령', '영남권', '대통령 후보자', '충청권', '스카이', '시작된', '열린', '열린 수도권', '국민의당', '재외국민', '인사하고', '오후', '유승민', '마련한', '안희정 충남지사', '실시한 권역별', '홍준표', '민주당', '후보자 수도권', '민주당 문재인', '원내 교섭단체', '지지자'}
